GENESIS-Tabelle: 12211-1003
Bevölkerung, Erwerbstätige, Erwerbslose, Erwerbspersonen,;;;;;;;;
Nichterwerbspersonen aus Hauptwohnsitzhaush.: Bundesländer,;;;;;;;;
Jahre, Geschlecht, Größenkl. persönl. monatl. Nettoeinkommen;;;;;;;;
Mikrozensus;;;;;;;;
;;;;Bevölkerung in Hauptwohnsitzhaushalten;Erwerbstätige aus Hauptwohnsitzhaushalten;Erwerbslose aus Hauptwohnsitzhaushalten;Erwerbspersonen aus Hauptwohnsitzhaushalten;Nichterwerbspersonen aus Hauptwohnsitzhaushalten
2022;Berlin;Insgesamt;1750 bis unter 2000 EUR;267;183;/;187;80
2022;Berlin;Insgesamt;2000 bis unter 2500 EUR;476;369;/;374;102
2022;Berlin;Insgesamt;2500 bis unter 3000 EUR;277;229;/;230;46
2022;Berlin;Insgesamt;3000 bis unter 3500 EUR;174;152;/;153;22
2022;Berlin;Insgesamt;3500 EUR und mehr;345;312;/;314;31
2022;Berlin;Insgesamt;Ohne Angabe;/;/;/;/;/
2022;Berlin;Insgesamt;Insgesamt;3682;1901;97;1998;1683
2022;Brandenburg;männlich;Kein Einkommen;178;/;/;/;174
2022;Brandenburg;männlich;unter 500 EUR;87;16;/;20;67
2022;Brandenburg;männlich;500 bis unter 1000 EUR;127;43;/;52;74
2022;Brandenburg;männlich;1000 bis unter 1250 EUR;113;38;/;40;73
2022;Brandenburg;männlich;1250 bis unter 1500 EUR;119;58;/;60;60
2022;Brandenburg;männlich;1500 bis unter 1750 EUR;123;80;/;80;43
2022;Brandenburg;männlich;1750 bis unter 2000 EUR;113;82;/;82;30
2022;Brandenburg;männlich;2000 bis unter 2500 EUR;173;138;/;140;34
2022;Brandenburg;männlich;2500 bis unter 3000 EUR;79;68;/;69;11
2022;Brandenburg;männlich;3000 bis unter 3500 EUR;53;47;/;48;/
2022;Brandenburg;männlich;3500 EUR und mehr;87;82;/;82;/
2022;Brandenburg;männlich;Ohne Angabe;/;/;/;/;/
2022;Brandenburg;männlich;Insgesamt;1252;653;23;676;575
2022;Brandenburg;weiblich;Kein Einkommen;181;/;/;/;176
2022;Brandenburg;weiblich;unter 500 EUR;101;23;/;28;74
2022;Brandenburg;weiblich;500 bis unter 1000 EUR;173;54;/;59;114
2022;Brandenburg;weiblich;1000 bis unter 1250 EUR;150;61;/;64;86
2022;Brandenburg;weiblich;1250 bis unter 1500 EUR;130;62;/;64;66
2022;Brandenburg;weiblich;1500 bis unter 1750 EUR;123;68;/;69;55
2022;Brandenburg;weiblich;1750 bis unter 2000 EUR;117;73;/;73;43
2022;Brandenburg;weiblich;2000 bis unter 2500 EUR;160;121;/;121;39
2022;Brandenburg;weiblich;2500 bis unter 3000 EUR;69;57;/;57;11
2022;Brandenburg;weiblich;3000 bis unter 3500 EUR;37;33;/;33;/
2022;Brandenburg;weiblich;3500 EUR und mehr;46;42;/;43;/
2022;Brandenburg;weiblich;Ohne Angabe;/;/;/;/;/
2022;Brandenburg;weiblich;Insgesamt;1287;596;20;616;672
2022;Brandenburg;Insgesamt;Kein Einkommen;358;/;/;/;350
2022;Brandenburg;Insgesamt;unter 500 EUR;188;38;/;48;140
2022;Brandenburg;Insgesamt;500 bis unter 1000 EUR;300;97;15;112;188
2022;Brandenburg;Insgesamt;1000 bis unter 1250 EUR;263;99;/;103;159
2022;Brandenburg;Insgesamt;1250 bis unter 1500 EUR;249;121;/;124;125
2022;Brandenburg;Insgesamt;1500 bis unter 1750 EUR;246;148;/;149;98
2022;Brandenburg;Insgesamt;1750 bis unter 2000 EUR;230;155;/;156;74
2022;Brandenburg;Insgesamt;2000 bis unter 2500 EUR;334;259;/;261;73
2022;Brandenburg;Insgesamt;2500 bis unter 3000 EUR;148;125;/;126;22
2022;Brandenburg;Insgesamt;3000 bis unter 3500 EUR;91;80;/;81;10
2022;Brandenburg;Insgesamt;3500 EUR und mehr;134;124;/;125;9
2022;Brandenburg;Insgesamt;Ohne Angabe;/;/;/;/;/
2022;Brandenburg;Insgesamt;Insgesamt;2539;1249;43;1292;1247
2022;Bremen;männlich;Kein Einkommen;47;/;/;/;45
2022;Bremen;männlich;unter 500 EUR;37;6;/;8;29
2022;Bremen;männlich;500 bis unter 1000 EUR;46;15;5;20;26
2022;Bremen;männlich;1000 bis unter 1250 EUR;20;8;/;9;11
2022;Bremen;männlich;1250 bis unter 1500 EUR;19;12;/;12;7
2022;Bremen;männlich;1500 bis unter 1750 EUR;23;15;/;15;8
2022;Bremen;männlich;1750 bis unter 2000 EUR;21;16;/;16;5
2022;Bremen;männlich;2000 bis unter 2500 EUR;48;37;/;38;10
2022;Bremen;männlich;2500 bis unter 3000 EUR;24;20;/;20;4
2022;Bremen;männlich;3000 bis unter 3500 EUR;16;13;/;13;/
2022;Bremen;männlich;3500 EUR und mehr;29;25;/;25;/
2022;Bremen;männlich;Ohne Angabe;/;/;/;/;/
2022;Bremen;männlich;Insgesamt;330;167;11;178;152
2022;Bremen;weiblich;Kein Einkommen;57;/;/;/;55
2022;Bremen;weiblich;unter 500 EUR;51;13;/;14;36
2022;Bremen;weiblich;500 bis unter 1000 EUR;65;27;/;30;35
2022;Bremen;weiblich;1000 bis unter 1250 EUR;33;16;/;16;16
2022;Bremen;weiblich;1250 bis unter 1500 EUR;27;16;/;17;10
2022;Bremen;weiblich;1500 bis unter 1750 EUR;22;14;/;14;8
2022;Bremen;weiblich;1750 bis unter 2000 EUR;20;14;/;14;6
2022;Bremen;weiblich;2000 bis unter 2500 EUR;33;25;/;26;7
2022;Bremen;weiblich;2500 bis unter 3000 EUR;13;10;/;10;/
2022;Bremen;weiblich;3000 bis unter 3500 EUR;8;6;/;6;/
2022;Bremen;weiblich;3500 EUR und mehr;7;6;/;6;/
2022;Bremen;weiblich;Ohne Angabe;/;/;/;/;/
2022;Bremen;weiblich;Insgesamt;336;148;6;154;182
2022;Bremen;Insgesamt;Kein Einkommen;104;/;/;/;100
2022;Bremen;Insgesamt;unter 500 EUR;88;19;/;23;65
2022;Bremen;Insgesamt;500 bis unter 1000 EUR;110;42;8;50;61
2022;Bremen;Insgesamt;1000 bis unter 1250 EUR;52;24;/;25;27
2022;Bremen;Insgesamt;1250 bis unter 1500 EUR;46;28;/;29;17
2022;Bremen;Insgesamt;1500 bis unter 1750 EUR;45;29;/;29;16
2022;Bremen;Insgesamt;1750 bis unter 2000 EUR;42;30;/;30;12
2022;Bremen;Insgesamt;2000 bis unter 2500 EUR;81;63;/;64;17
2022;Bremen;Insgesamt;2500 bis unter 3000 EUR;37;29;/;30;8
2022;Bremen;Insgesamt;3000 bis unter 3500 EUR;25;19;/;19;6
2022;Bremen;Insgesamt;3500 EUR und mehr;36;31;/;32;4
2022;Bremen;Insgesamt;Ohne Angabe;/;/;/;/;/
2022;Bremen;Insgesamt;Insgesamt;667;315;18;333;334
2022;Hamburg;männlich;Kein Einkommen;139;/;/;/;134
2022;Hamburg;männlich;unter 500 EUR;82;14;/;18;64
2022;Hamburg;männlich;500 bis unter 1000 EUR;77;31;/;38;39
2022;Hamburg;männlich;1000 bis unter 1250 EUR;55;24;/;28;28
2022;Hamburg;männlich;1250 bis unter 1500 EUR;46;26;/;28;18
2022;Hamburg;männlich;1500 bis unter 1750 EUR;61;40;/;42;19
2022;Hamburg;männlich;1750 bis unter 2000 EUR;58;42;/;43;14
2022;Hamburg;männlich;2000 bis unter 2500 EUR;126;103;/;104;21
2022;Hamburg;männlich;2500 bis unter 3000 EUR;82;70;/;71;11
2022;Hamburg;männlich;3000 bis unter 3500 EUR;59;50;/;50;10
2022;Hamburg;männlich;3500 EUR und mehr;125;112;/;112;13
2022;Hamburg;männlich;Ohne Angabe;/;/;/;/;/
2022;Hamburg;männlich;Insgesamt;910;514;25;539;372
2022;Hamburg;weiblich;Kein Einkommen;160;/;/;/;155
2022;Hamburg;weiblich;unter 500 EUR;112;27;/;30;82
2022;Hamburg;weiblich;500 bis unter 1000 EUR;120;47;/;51;69
2022;Hamburg;weiblich;1000 bis unter 1250 EUR;81;39;/;41;39
2022;Hamburg;weiblich;1250 bis unter 1500 EUR;67;39;/;41;27
2022;Hamburg;weiblich;1500 bis unter 1750 EUR;73;47;/;48;25
2022;Hamburg;weiblich;1750 bis unter 2000 EUR;60;42;/;43;17
2022;Hamburg;weiblich;2000 bis unter 2500 EUR;117;93;/;94;24
2022;Hamburg;weiblich;2500 bis unter 3000 EUR;65;55;/;55;9
2022;Hamburg;weiblich;3000 bis unter 3500 EUR;36;31;/;31;/
2022;Hamburg;weiblich;3500 EUR und mehr;52;46;/;46;6
2022;Hamburg;weiblich;Ohne Angabe;/;/;/;/;/
2022;Hamburg;weiblich;Insgesamt;942;468;17;485;457
2022;Hamburg;Insgesamt;Kein Einkommen;299;/;/;10;289
2022;Hamburg;Insgesamt;unter 500 EUR;194;40;8;48;145
2022;Hamburg;Insgesamt;500 bis unter 1000 EUR;197;78;11;89;108
2022;Hamburg;Insgesamt;1000 bis unter 1250 EUR;136;63;/;69;67
2022;Hamburg;Insgesamt;1250 bis unter 1500 EUR;113;65;/;69;45
2022;Hamburg;Insgesamt;1500 bis unter 1750 EUR;134;86;/;89;44
2022;Hamburg;Insgesamt;1750 bis unter 2000 EUR;117;84;/;86;31
2022;Hamburg;Insgesamt;2000 bis unter 2500 EUR;243;196;/;198;45
2022;Hamburg;Insgesamt;2500 bis unter 3000 EUR;147;125;/;126;21
2022;Hamburg;Insgesamt;3000 bis unter 3500 EUR;95;81;/;81;14
2022;Hamburg;Insgesamt;3500 EUR und mehr;178;158;/;158;19
2022;Hamburg;Insgesamt;Ohne Angabe;/;/;/;/;/
2022;Hamburg;Insgesamt;Insgesamt;1852;982;42;1024;829
2022;Hessen;männlich;Kein Einkommen;464;7;9;16;448
2022;Hessen;männlich;unter 500 EUR;281;60;14;74;206
2022;Hessen;männlich;500 bis unter 1000 EUR;261;108;17;125;136
2022;Hessen;männlich;1000 bis unter 1250 EUR;159;69;/;74;85
2022;Hessen;männlich;1250 bis unter 1500 EUR;162;78;/;83;79
2022;Hessen;männlich;1500 bis unter 1750 EUR;196;115;/;118;78
2022;Hessen;männlich;1750 bis unter 2000 EUR;227;154;/;157;70
2022;Hessen;männlich;2000 bis unter 2500 EUR;453;347;/;350;102
2022;Hessen;männlich;2500 bis unter 3000 EUR;283;230;/;231;51
2022;Hessen;männlich;3000 bis unter 3500 EUR;195;154;/;154;41
2022;Hessen;männlich;3500 EUR und mehr;422;368;/;369;53
2022;Hessen;männlich;Ohne Angabe;/;/;/;/;/
2022;Hessen;männlich;Insgesamt;3101;1689;64;1753;1349
2022;Hessen;weiblich;Kein Einkommen;565;9;9;18;547
2022;Hessen;weiblich;unter 500 EUR;456;132;10;142;314
2022;Hessen;weiblich;500 bis unter 1000 EUR;509;211;16;227;282
2022;Hessen;weiblich;1000 bis unter 1250 EUR;299;153;/;158;141
2022;Hessen;weiblich;1250 bis unter 1500 EUR;238;142;/;145;93
2022;Hessen;weiblich;1500 bis unter 1750 EUR;222;145;/;147;75
2022;Hessen;weiblich;1750 bis unter 2000 EUR;196;137;/;139;57
2022;Hessen;weiblich;2000 bis unter 2500 EUR;306;233;/;234;72
2022;Hessen;weiblich;2500 bis unter 3000 EUR;160;124;/;124;35
2022;Hessen;weiblich;3000 bis unter 3500 EUR;98;77;/;77;21
2022;Hessen;weiblich;3500 EUR und mehr;141;120;/;121;21
2022;Hessen;weiblich;Ohne Angabe;/;/;/;/;/
2022;Hessen;weiblich;Insgesamt;3191;1484;49;1532;1658
2022;Hessen;Insgesamt;Kein Einkommen;1029;15;19;34;995
2022;Hessen;Insgesamt;unter 500 EUR;737;192;24;216;521
2022;Hessen;Insgesamt;500 bis unter 1000 EUR;770;320;32;352;417
2022;Hessen;Insgesamt;1000 bis unter 1250 EUR;458;222;10;232;226
2022;Hessen;Insgesamt;1250 bis unter 1500 EUR;401;221;8;228;172
2022;Hessen;Insgesamt;1500 bis unter 1750 EUR;418;260;/;265;153
2022;Hessen;Insgesamt;1750 bis unter 2000 EUR;424;291;/;296;127
2022;Hessen;Insgesamt;2000 bis unter 2500 EUR;758;579;/;584;174
2022;Hessen;Insgesamt;2500 bis unter 3000 EUR;442;354;/;355;87
2022;Hessen;Insgesamt;3000 bis unter 3500 EUR;293;231;/;231;62
2022;Hessen;Insgesamt;3500 EUR und mehr;563;488;/;490;73
2022;Hessen;Insgesamt;Ohne Angabe;/;/;/;/;/
2022;Hessen;Insgesamt;Insgesamt;6292;3173;112;3285;3007
2022;Mecklenburg-Vorpommern;männlich;Kein Einkommen;120;/;/;/;118
2022;Mecklenburg-Vorpommern;männlich;unter 500 EUR;42;11;/;15;28
2022;Mecklenburg-Vorpommern;männlich;500 bis unter 1000 EUR;101;27;8;35;66
2022;Mecklenburg-Vorpommern;männlich;1000 bis unter 1250 EUR;79;25;/;27;52
2022;Mecklenburg-Vorpommern;männlich;1250 bis unter 1500 EUR;80;43;/;44;36
2022;Mecklenburg-Vorpommern;männlich;1500 bis unter 1750 EUR;82;56;/;56;25
2022;Mecklenburg-Vorpommern;männlich;1750 bis unter 2000 EUR;76;57;/;58;19
2022;Mecklenburg-Vorpommern;männlich;2000 bis unter 2500 EUR;95;77;/;78;17
2022;Mecklenburg-Vorpommern;männlich;2500 bis unter 3000 EUR;46;40;/;40;6
2022;Mecklenburg-Vorpommern;männlich;3000 bis unter 3500 EUR;27;25;/;25;/
2022;Mecklenburg-Vorpommern;männlich;3500 EUR und mehr;40;38;/;38;/
2022;Mecklenburg-Vorpommern;männlich;Ohne Angabe;/;/;/;/;/
2022;Mecklenburg-Vorpommern;männlich;Insgesamt;787;399;18;417;370
2022;Mecklenburg-Vorpommern;weiblich;Kein Einkommen;124;/;/;/;120
2022;Mecklenburg-Vorpommern;weiblich;unter 500 EUR;45;14;/;16;28
2022;Mecklenburg-Vorpommern;weiblich;500 bis unter 1000 EUR;136;42;/;48;88
2022;Mecklenburg-Vorpommern;weiblich;1000 bis unter 1250 EUR;113;49;/;51;62
2022;Mecklenburg-Vorpommern;weiblich;1250 bis unter 1500 EUR;97;53;/;54;43
2022;Mecklenburg-Vorpommern;weiblich;1500 bis unter 1750 EUR;84;50;/;51;34
2022;Mecklenburg-Vorpommern;weiblich;1750 bis unter 2000 EUR;69;43;/;43;26
2022;Mecklenburg-Vorpommern;weiblich;2000 bis unter 2500 EUR;85;60;/;60;25
2022;Mecklenburg-Vorpommern;weiblich;2500 bis unter 3000 EUR;30;25;/;25;/
2022;Mecklenburg-Vorpommern;weiblich;3000 bis unter 3500 EUR;16;15;/;15;/
2022;Mecklenburg-Vorpommern;weiblich;3500 EUR und mehr;16;15;/;15;/
2022;Mecklenburg-Vorpommern;weiblich;Ohne Angabe;/;/;/;/;/
2022;Mecklenburg-Vorpommern;weiblich;Insgesamt;816;368;13;381;434
2022;Mecklenburg-Vorpommern;Insgesamt;Kein Einkommen;244;/;/;/;238
2022;Mecklenburg-Vorpommern;Insgesamt;unter 500 EUR;87;25;/;31;56
2022;Mecklenburg-Vorpommern;Insgesamt;500 bis unter 1000 EUR;237;68;14;82;154
2022;Mecklenburg-Vorpommern;Insgesamt;1000 bis unter 1250 EUR;192;75;/;77;114
2022;Mecklenburg-Vorpommern;Insgesamt;1250 bis unter 1500 EUR;177;96;/;98;79
2022;Mecklenburg-Vorpommern;Insgesamt;1500 bis unter 1750 EUR;166;106;/;107;59
2022;Mecklenburg-Vorpommern;Insgesamt;1750 bis unter 2000 EUR;145;100;/;101;44
2022;Mecklenburg-Vorpommern;Insgesamt;2000 bis unter 2500 EUR;180;137;/;138;42
2022;Mecklenburg-Vorpommern;Insgesamt;2500 bis unter 3000 EUR;76;65;/;65;11
2022;Mecklenburg-Vorpommern;Insgesamt;3000 bis unter 3500 EUR;43;40;/;40;/
2022;Mecklenburg-Vorpommern;Insgesamt;3500 EUR und mehr;56;53;/;53;/
2022;Mecklenburg-Vorpommern;Insgesamt;Ohne Angabe;/;/;/;/;/
2022;Mecklenburg-Vorpommern;Insgesamt;Insgesamt;1602;767;31;798;805
2022;Niedersachsen;männlich;Kein Einkommen;557;/;9;14;543
2022;Niedersachsen;männlich;unter 500 EUR;358;70;14;84;274
2022;Niedersachsen;männlich;500 bis unter 1000 EUR;358;150;25;175;183
2022;Niedersachsen;männlich;1000 bis unter 1250 EUR;211;89;/;95;116
2022;Niedersachsen;männlich;1250 bis unter 1500 EUR;234;121;/;125;108
2022;Niedersachsen;männlich;1500 bis unter 1750 EUR;260;155;/;157;103
2022;Niedersachsen;männlich;1750 bis unter 2000 EUR;323;234;/;236;86
2022;Niedersachsen;männlich;2000 bis unter 2500 EUR;611;478;/;481;130
2022;Niedersachsen;männlich;2500 bis unter 3000 EUR;357;285;/;287;70
2022;Niedersachsen;männlich;3000 bis unter 3500 EUR;240;196;/;197;43
2022;Niedersachsen;männlich;3500 EUR und mehr;450;390;/;391;59
2022;Niedersachsen;männlich;Ohne Angabe;/;/;/;/;/
2022;Niedersachsen;männlich;Insgesamt;3960;2173;71;2244;1717
2022;Niedersachsen;weiblich;Kein Einkommen;636;10;8;18;618
2022;Niedersachsen;weiblich;unter 500 EUR;624;182;11;193;431
2022;Niedersachsen;weiblich;500 bis unter 1000 EUR;729;333;16;349;380
2022;Niedersachsen;weiblich;1000 bis unter 1250 EUR;406;228;/;233;173
2022;Niedersachsen;weiblich;1250 bis unter 1500 EUR;348;213;/;216;132
2022;Niedersachsen;weiblich;1500 bis unter 1750 EUR;286;188;/;190;96
2022;Niedersachsen;weiblich;1750 bis unter 2000 EUR;252;182;/;183;69
2022;Niedersachsen;weiblich;2000 bis unter 2500 EUR;378;286;/;288;90
2022;Niedersachsen;weiblich;2500 bis unter 3000 EUR;173;135;/;135;38
2022;Niedersachsen;weiblich;3000 bis unter 3500 EUR;101;79;/;79;22
2022;Niedersachsen;weiblich;3500 EUR und mehr;117;96;/;97;20
2022;Niedersachsen;weiblich;Ohne Angabe;/;/;/;/;/
2022;Niedersachsen;weiblich;Insgesamt;4049;1933;49;1982;2067
2022;Niedersachsen;Insgesamt;Kein Einkommen;1193;16;17;33;1160
2022;Niedersachsen;Insgesamt;unter 500 EUR;982;252;25;277;705
2022;Niedersachsen;Insgesamt;500 bis unter 1000 EUR;1087;483;41;524;563
2022;Niedersachsen;Insgesamt;1000 bis unter 1250 EUR;617;318;11;328;289
2022;Niedersachsen;Insgesamt;1250 bis unter 1500 EUR;581;333;8;341;240
2022;Niedersachsen;Insgesamt;1500 bis unter 1750 EUR;546;343;/;347;199
2022;Niedersachsen;Insgesamt;1750 bis unter 2000 EUR;575;416;/;420;155
2022;Niedersachsen;Insgesamt;2000 bis unter 2500 EUR;990;764;/;770;220
2022;Niedersachsen;Insgesamt;2500 bis unter 3000 EUR;530;420;/;422;108
